person id,people_name_selection/person_name,gender,racial category,education level,address_selection/property,timestamp inquiry sent out
1,Jalen Jackson,male,black,high,33 Emily Lane,
2,Lamar Williams,male,black,medium,5202 Highland Trail,6/22/18 0:53
3,DaQuan Robinson,male,black,low,1457 Stone Mill Trace,6/22/18 0:54
4,Nia Harris,female,black,high,5325 Brickleberry Way,6/22/18 0:55
5,Ebony James,female,black,medium,105 Sherwood Forest Drive,6/22/18 0:56
6,Shanice Thomas,female,black,low,6780 Mableton Parkway Southeast #54,
7,Caleb Peterson,male,white,high,113 Howard Avenue NW,6/22/18 0:58
8,Charlie Myers,male,white,medium,165 Tyson Circle,6/22/18 0:59
9,Ronnie Miller,male,white,low,2606 Hedgerow Drive,6/22/18 1:00
10,Aubrey Murphy,female,white,high,207 Towering Peaks,6/22/18 1:01
11,Erica Cox,female,white,medium,2764 Eldorado Place,6/22/18 1:02
12,Leslie Wood,female,white,low,4649 Big Valley Court,6/22/18 1:03
13,Jorge Rodriguez,male,hispanic,high,6212 Westridge Trace,6/22/18 1:04
14,Pedro Sanchez,male,hispanic,medium,2663 Candler Drive Southwest,6/22/18 1:05
15,Luis Torres,male,hispanic,low,1851 Twin Branch Drive,6/22/18 1:06
16,Isabella Lopez,female,hispanic,high,1099 Pinedale Drive Southeast,6/22/18 1:07
17,Mariana Morales,female,hispanic,medium,110 Howard Avenue NW,6/22/18 1:08
18,Jimena Ramirez,female,hispanic,low,2951 Gray Road Southeast,6/22/18 1:09
