person id,people_name_selection/person_name,gender,racial category,education level,address_selection/property,timestamp inquiry sent out
1,Jalen Jackson,male,black,high,212 Harris Oaks,
2,Lamar Williams,male,black,medium,11 Ryan Trail,6/28/18 14:53
3,DaQuan Robinson,male,black,low,115 Ivy Mill Way,6/28/18 14:55
4,Nia Harris,female,black,high,7907 Taylor Circle,6/28/18 14:56
5,Ebony James,female,black,medium,130 Concord Terrace,
6,Shanice Thomas,female,black,low,141 North Square Lane,6/28/18 14:58
7,Caleb Peterson,male,white,high,312 Wood Ridge,6/28/18 14:59
8,Charlie Myers,male,white,medium,3725 Winding Trail Court,6/28/18 15:00
9,Ronnie Miller,male,white,low,9500 Poole Road,6/28/18 15:01
10,Aubrey Murphy,female,white,high,15 Turkey Trail #66,6/28/18 15:02
11,Erica Cox,female,white,medium,313 Everdale Road,6/28/18 15:03
12,Leslie Wood,female,white,low,334 Orchard Drive,
13,Jorge Rodriguez,male,hispanic,high,3964 Cindy Drive,
14,Pedro Sanchez,male,hispanic,medium,4130 Monarch Drive,6/28/18 15:09
15,Luis Torres,male,hispanic,low,314 Everdale Road,6/28/18 15:10
16,Isabella Lopez,female,hispanic,high,105 Weatherford Way,6/28/18 15:11
17,Mariana Morales,female,hispanic,medium,3571 Stratford Place,6/28/18 15:12
18,Jimena Ramirez,female,hispanic,low,39 Belltree Circle,6/28/18 15:13
