person id,people_name_selection/person_name,gender,racial category,education level,address_selection/property,timestamp inquiry sent out
1,Jalen Jackson,male,black,high,3275 River Lane Southeast,6/9/18 21:11
2,Lamar Williams,male,black,medium,772 Boston Common,
3,DaQuan Robinson,male,black,low,140 Scott Street Northwest,6/9/18 21:13
4,Nia Harris,female,black,high,2520 Jonesboro Road Southeast #A75,6/9/18 21:14
5,Ebony James,female,black,medium,321 Hascall Road Northwest,6/9/18 21:15
6,Shanice Thomas,female,black,low,375 Winding River Drive #F,6/9/18 21:16
7,Caleb Peterson,male,white,high,3263 Washington Road #1,6/9/18 21:17
8,Charlie Myers,male,white,medium,2868 Burden Street Northwest,6/9/18 21:18
9,Ronnie Miller,male,white,low,983 Burns Drive Southwest,6/9/18 21:19
10,Aubrey Murphy,female,white,high,120 Alden Avenue NW,6/9/18 21:20
11,Erica Cox,female,white,medium,1796 Arkose Drive Southeast,6/9/18 21:21
12,Leslie Wood,female,white,low,3263 Washington Road #3,6/9/18 21:22
13,Jorge Rodriguez,male,hispanic,high,3887 Lake Manor Way,6/9/18 21:23
14,Pedro Sanchez,male,hispanic,medium,841 Artwood Road Northeast,6/9/18 21:24
15,Luis Torres,male,hispanic,low,1260 Fairview Road Northeast,6/9/18 21:25
16,Isabella Lopez,female,hispanic,high,1287 Oak Grove Avenue SE,6/9/18 21:26
17,Mariana Morales,female,hispanic,medium,1157 Standard Drive Northeast #1157,6/9/18 21:27
18,Jimena Ramirez,female,hispanic,low,238 Sampson Street Northeast,6/9/18 21:29
