person id,people_name_selection/person_name,gender,racial category,education level,address_selection/property,timestamp inquiry sent out
1,Jalen Jackson,male,black,high,4207 Village Square Lane,6/20/18 20:04
2,Lamar Williams,male,black,medium,1190 Lightfoot Drive,6/20/18 20:05
3,DaQuan Robinson,male,black,low,5705 Hiram Lithia Springs Road,6/20/18 20:06
4,Nia Harris,female,black,high,117 Wendy Way,6/20/18 20:07
5,Ebony James,female,black,medium,1350 Waterton Trail,6/20/18 20:08
6,Shanice Thomas,female,black,low,107 Oscar Court,
7,Caleb Peterson,male,white,high,92 North Springs Court,6/20/18 21:18
8,Charlie Myers,male,white,medium,6780 Mableton Parkway Southeast #78,6/20/18 21:19
9,Ronnie Miller,male,white,low,147 Shady Lane Circle,6/20/18 21:20
10,Aubrey Murphy,female,white,high,6698 Baker Drive,6/20/18 21:21
11,Erica Cox,female,white,medium,4322 Idlewood Lane,6/20/18 21:22
12,Leslie Wood,female,white,low,16 Jackson Place Northwest,6/20/18 21:23
13,Jorge Rodriguez,male,hispanic,high,2778 Fran Lane Southwest,6/20/18 21:24
14,Pedro Sanchez,male,hispanic,medium,33 Emily Lane,
15,Luis Torres,male,hispanic,low,4121 Sweet Water Court Southeast,6/20/18 21:26
16,Isabella Lopez,female,hispanic,high,746 Valley Creek Drive,6/20/18 21:27
17,Mariana Morales,female,hispanic,medium,350 Kades Cove Drive,6/20/18 21:28
18,Jimena Ramirez,female,hispanic,low,105 Sherwood Forest Drive,6/20/18 21:29
