person id,people_name_selection/person_name,gender,racial category,education level,address_selection/property,timestamp inquiry sent out
1,Jalen Jackson,male,black,high,3503 Cameo Court,6/13/18 1:06
2,Lamar Williams,male,black,medium,5104 Fairington Ridge Circle #5104,6/13/18 1:07
3,DaQuan Robinson,male,black,low,689 Dogwood Drive Northwest,6/13/18 1:08
4,Nia Harris,female,black,high,7448 Edenberry Way,6/13/18 1:09
5,Ebony James,female,black,medium,2225 Pair Road Southwest,6/13/18 1:10
6,Shanice Thomas,female,black,low,6550POL East Crk,6/13/18 1:11
7,Caleb Peterson,male,white,high,810 Mill Station Drive,
8,Charlie Myers,male,white,medium,2638 Cove Way,6/13/18 1:13
9,Ronnie Miller,male,white,low,611 Paden Mill Trail,6/13/18 1:14
10,Aubrey Murphy,female,white,high,1726 Cotton Patch Lane,6/13/18 2:15
11,Erica Cox,female,white,medium,3575 Oakvale Road #1103,6/13/18 2:16
12,Leslie Wood,female,white,low,311 Allatoona Road,6/13/18 2:17
13,Jorge Rodriguez,male,hispanic,high,6346 Alford Circle,6/13/18 2:18
14,Pedro Sanchez,male,hispanic,medium,2680 Kentshire Way,6/13/18 2:19
15,Luis Torres,male,hispanic,low,2434 Hillside Avenue,6/13/18 2:20
16,Isabella Lopez,female,hispanic,high,7551 Conyers Street,6/13/18 2:21
17,Mariana Morales,female,hispanic,medium,2995 Cordite Loop,6/13/18 2:22
18,Jimena Ramirez,female,hispanic,low,4820 Teal Trail,6/13/18 2:23
