person id,people_name_selection/person_name,gender,racial category,education level,address_selection/property,timestamp inquiry sent out
1,Jalen Jackson,male,black,high,247 Eastgate Circle,6/11/18 23:38
2,Lamar Williams,male,black,medium,6032 Old Wellborn Trace,6/11/18 23:39
3,DaQuan Robinson,male,black,low,2783 Coventry Grn Southeast #C,6/12/18 0:10
4,Nia Harris,female,black,high,4149 Panola Lake Circle,6/12/18 0:11
5,Ebony James,female,black,medium,30 Hegwood Drive,6/12/18 0:41
6,Shanice Thomas,female,black,low,3434 Warwick Way,6/12/18 0:42
7,Caleb Peterson,male,white,high,1565 Keylake Drive,6/12/18 14:04
8,Charlie Myers,male,white,medium,3435 Ridgefair Drive,6/12/18 14:05
9,Ronnie Miller,male,white,low,4205 Bonneville Drive,6/12/18 14:06
10,Aubrey Murphy,female,white,high,5445 Fieldfreen Drive,6/12/18 14:07
11,Erica Cox,female,white,medium,3448 Elgin Drive,6/12/18 14:08
12,Leslie Wood,female,white,low,2619 Majestic Circle,6/12/18 14:09
13,Jorge Rodriguez,male,hispanic,high,150 Saddle Bridge Drive,
14,Pedro Sanchez,male,hispanic,medium,375 Grayson Way,6/12/18 14:11
15,Luis Torres,male,hispanic,low,128 Shadowbrooke Circle,6/12/18 14:12
16,Isabella Lopez,female,hispanic,high,578 Village Run,6/12/18 14:13
17,Mariana Morales,female,hispanic,medium,297 Arbour Way,6/12/18 14:14
18,Jimena Ramirez,female,hispanic,low,306 Cindy Court,6/12/18 14:15
