person id,people_name_selection/person_name,gender,racial category,education level,address_selection/property,timestamp inquiry sent out
1,Jalen Jackson,male,black,high,283 Pinewood Trail #A,6/30/18 12:19
2,Lamar Williams,male,black,medium,8480 Oakley Circle,6/30/18 12:20
3,DaQuan Robinson,male,black,low,2185 Fairway Circle Northeast,6/30/18 12:21
4,Nia Harris,female,black,high,508 Martin Luther King Drive,6/30/18 12:22
5,Ebony James,female,black,medium,994 Poplar Street,6/30/18 12:23
6,Shanice Thomas,female,black,low,144 Ednaville Road,6/30/18 12:24
7,Caleb Peterson,male,white,high,1115 Lynmoor Drive Northeast,6/30/18 12:25
8,Charlie Myers,male,white,medium,992 Vandiviere Road,6/30/18 12:26
9,Ronnie Miller,male,white,low,4725 Kitty Hawk Place,6/30/18 12:27
10,Aubrey Murphy,female,white,high,1702 Tipperary Circle,6/30/18 12:28
11,Erica Cox,female,white,medium,2010 Rachael Drive,6/30/18 12:29
12,Leslie Wood,female,white,low,1020 Eaglewood Drive,6/30/18 12:30
13,Jorge Rodriguez,male,hispanic,high,3305 Ivy Lake Drive,6/30/18 12:31
14,Pedro Sanchez,male,hispanic,medium,1931 Neely Avenue,6/30/18 12:32
15,Luis Torres,male,hispanic,low,6360 Emerald Pointe Circle,6/30/18 12:33
16,Isabella Lopez,female,hispanic,high,3635 Meadow Glen Circle,6/30/18 12:34
17,Mariana Morales,female,hispanic,medium,5095 Bird Road,6/30/18 12:35
18,Jimena Ramirez,female,hispanic,low,6297 Queens Court,6/30/18 12:36
