person id,people_name_selection/person_name,gender,racial category,education level,address_selection/property,timestamp inquiry sent out
1,Jalen Jackson,male,black,high,3410 Homeward Trail,7/2/18 0:26
2,Lamar Williams,male,black,medium,366 Glenmoor Place,7/2/18 0:27
3,DaQuan Robinson,male,black,low,3208 Milstead Walk Way,7/2/18 0:33
4,Nia Harris,female,black,high,5095 Bird Road,7/2/18 0:34
5,Ebony James,female,black,medium,404 Ruth Court,
6,Shanice Thomas,female,black,low,1504 Marakanda Trail #3,7/2/18 0:37
7,Caleb Peterson,male,white,high,5469 Liberty Road,7/2/18 0:38
8,Charlie Myers,male,white,medium,5111 Bird Road,7/2/18 0:39
9,Ronnie Miller,male,white,low,1453 Iroquois Path Northeast,7/2/18 0:40
10,Aubrey Murphy,female,white,high,5620 Sycamore Road,7/2/18 0:41
11,Erica Cox,female,white,medium,1861 Cedar Walk Lane,7/2/18 0:42
12,Leslie Wood,female,white,low,1475 Greenwillow Drive,7/2/18 0:43
13,Jorge Rodriguez,male,hispanic,high,3929 Day Trail North,7/2/18 0:44
14,Pedro Sanchez,male,hispanic,medium,1022 King Road,7/2/18 0:45
15,Luis Torres,male,hispanic,low,14475 Highway 18 Chalet #89,7/2/18 0:50
16,Isabella Lopez,female,hispanic,high,942 Century Oak Drive,7/2/18 0:52
17,Mariana Morales,female,hispanic,medium,1386 Valley View Road,7/2/18 0:53
18,Jimena Ramirez,female,hispanic,low,3005 Forestside Lane,7/2/18 0:55
