person id,people_name_selection/person_name,gender,racial category,education level,address_selection/property,timestamp inquiry sent out
1,Jalen Jackson,male,black,high,418 Thaxton Drive Southeast,6/9/18 17:52
2,Lamar Williams,male,black,medium,786 Francis Place Northwest,
3,DaQuan Robinson,male,black,low,1817 Terry Mill Road Southeast,6/9/18 17:54
4,Nia Harris,female,black,high,2204 River Green Drive Northwest,6/9/18 17:55
5,Ebony James,female,black,medium,1834 McLendon Avenue NE,6/9/18 17:56
6,Shanice Thomas,female,black,low,1363 North Highland Avenue NE,6/9/18 17:57
7,Caleb Peterson,male,white,high,1767 Arkose Drive Southeast,6/9/18 17:58
8,Charlie Myers,male,white,medium,1532 Pineview Terrace Southwest,6/9/18 17:59
9,Ronnie Miller,male,white,low,2284 Echo Trail Northeast,6/9/18 18:00
10,Aubrey Murphy,female,white,high,1579 Olympian Circle Southwest,6/9/18 18:01
11,Erica Cox,female,white,medium,900 Peachtree Street Northeast #3,6/9/18 18:02
12,Leslie Wood,female,white,low,368 Irwin Street Northeast,6/9/18 18:03
13,Jorge Rodriguez,male,hispanic,high,21 Park Circle Northeast,6/9/18 18:04
14,Pedro Sanchez,male,hispanic,medium,5445 Forest Downs Circle,6/9/18 18:05
15,Luis Torres,male,hispanic,low,2038 Howard Circle,6/9/18 18:06
16,Isabella Lopez,female,hispanic,high,349 Redland Road Northwest,6/9/18 18:07
17,Mariana Morales,female,hispanic,medium,2035 Settle Circle Southeast,6/9/18 18:08
18,Jimena Ramirez,female,hispanic,low,332 Meadowbrook Drive,6/9/18 18:09
