person id,people_name_selection/person_name,gender,racial category,education level,address_selection/property,timestamp inquiry sent out
1,Jalen Jackson,male,black,high,592 Waterway Trail,6/20/18 18:58
2,Lamar Williams,male,black,medium,106 Howard Avenue NW,6/20/18 18:59
3,DaQuan Robinson,male,black,low,6658 Marsh Avenue,6/20/18 19:00
4,Nia Harris,female,black,high,6359 Bells Ferry Road #640,6/20/18 19:01
5,Ebony James,female,black,medium,3889 Pointers Way Southwest,6/20/18 19:02
6,Shanice Thomas,female,black,low,6780 Mableton Parkway Southeast #40,6/20/18 19:03
7,Caleb Peterson,male,white,high,2984 Sloans Way,6/20/18 19:04
8,Charlie Myers,male,white,medium,202 Clydesdale Lane Southeast,6/20/18 19:35
9,Ronnie Miller,male,white,low,230 Brittany Court #230,6/20/18 19:36
10,Aubrey Murphy,female,white,high,4299 Buckingham Place,6/20/18 19:37
11,Erica Cox,female,white,medium,5239 Light Circle,6/20/18 19:38
12,Leslie Wood,female,white,low,5447 Brandon Court,6/20/18 19:39
13,Jorge Rodriguez,male,hispanic,high,2369 Valley Way,6/20/18 19:40
14,Pedro Sanchez,male,hispanic,medium,119 Magnolia Street,6/20/18 19:41
15,Luis Torres,male,hispanic,low,780 Whitehall Way,6/20/18 19:42
16,Isabella Lopez,female,hispanic,high,2572 Old Norcross Road,6/20/18 19:43
17,Mariana Morales,female,hispanic,medium,6780 Mableton Parkway Southeast #33,6/20/18 19:44
18,Jimena Ramirez,female,hispanic,low,6359 Bells Ferry Road #658,6/20/18 19:45
