person id,people_name_selection/person_name,gender,racial category,education level,address_selection/property,timestamp inquiry sent out
1,Jalen Jackson,male,black,high,140 Cloverwood Drive,6/28/18 15:55
2,Lamar Williams,male,black,medium,6160 Princeton Avenue,6/28/18 15:56
3,DaQuan Robinson,male,black,low,7548 Pembrook Court,6/28/18 15:57
4,Nia Harris,female,black,high,30 Sawgrass Manor Drive,6/28/18 15:58
5,Ebony James,female,black,medium,183 Seabreeze Court,
6,Shanice Thomas,female,black,low,3572 Vicki Lane,
7,Caleb Peterson,male,white,high,5147 Spring Glen Court,6/28/18 16:01
8,Charlie Myers,male,white,medium,45 Links Court,6/28/18 16:02
9,Ronnie Miller,male,white,low,330 Cornwallis Way,6/28/18 16:03
10,Aubrey Murphy,female,white,high,1217 Vaughn Road,6/28/18 16:04
11,Erica Cox,female,white,medium,15 Abby Court,6/28/18 16:05
12,Leslie Wood,female,white,low,195 Sea Marsh Court,6/28/18 16:11
13,Jorge Rodriguez,male,hispanic,high,10850 Starling Trail,6/28/18 16:12
14,Pedro Sanchez,male,hispanic,medium,9177 Chickasaw Court,6/28/18 16:14
15,Luis Torres,male,hispanic,low,7006 Knollwood Drive,6/28/18 16:15
16,Isabella Lopez,female,hispanic,high,440 Jefferson Avenue,6/28/18 16:20
17,Mariana Morales,female,hispanic,medium,249 Blue Springs Way,6/28/18 16:21
18,Jimena Ramirez,female,hispanic,low,303 Fairview Drive,
