person id,people_name_selection/person_name,gender,racial category,education level,address_selection/property,timestamp inquiry sent out
1,Jalen Jackson,male,black,high,204 Ranier Court,6/20/18 14:24
2,Lamar Williams,male,black,medium,4805 West Village Way SE #1,6/20/18 14:25
3,DaQuan Robinson,male,black,low,165 Tyson Circle,6/20/18 14:26
4,Nia Harris,female,black,high,11175 Abbotts Station Drive,6/20/18 14:27
5,Ebony James,female,black,medium,54 Betty Lane,6/20/18 14:28
6,Shanice Thomas,female,black,low,5127 Galbraith Circle,6/20/18 14:29
7,Caleb Peterson,male,white,high,2855 Karen Ridge Southwest,6/20/18 14:30
8,Charlie Myers,male,white,medium,4635 Hamlet Walk Southeast,6/20/18 14:31
9,Ronnie Miller,male,white,low,5492 Redan Road,6/20/18 14:32
10,Aubrey Murphy,female,white,high,427 Valley View Drive,6/20/18 14:33
11,Erica Cox,female,white,medium,215 Kiowa Court Southeast,6/20/18 14:34
12,Leslie Wood,female,white,low,5081 Civitania Road Southeast #R,6/20/18 14:35
13,Jorge Rodriguez,male,hispanic,high,441 Don Circle Southwest,6/20/18 14:36
14,Pedro Sanchez,male,hispanic,medium,2606 Hedgerow Drive Northeast,6/20/18 14:37
15,Luis Torres,male,hispanic,low,1457 Stone Mill Trace,6/20/18 14:38
16,Isabella Lopez,female,hispanic,high,7685 Mountain Creek Way,6/20/18 14:39
17,Mariana Morales,female,hispanic,medium,4710 Spring Gate Drive,6/20/18 14:40
18,Jimena Ramirez,female,hispanic,low,800 Yonah Drive,6/20/18 14:41
