person id,people_name_selection/person_name,gender,racial category,education level,address_selection/property,timestamp inquiry sent out
1,Jalen Jackson,male,black,high,249 Blue Springs Way,6/26/18 23:19
2,Lamar Williams,male,black,medium,300 Sharon Drive,6/26/18 23:20
3,DaQuan Robinson,male,black,low,235 West Lane,6/26/18 23:21
4,Nia Harris,female,black,high,322 Ashton Place,6/26/18 23:22
5,Ebony James,female,black,medium,3964 Cindy Drive,6/26/18 23:23
6,Shanice Thomas,female,black,low,724 Highway 293 #37,6/26/18 23:24
7,Caleb Peterson,male,white,high,8975 Ochil Lane,6/26/18 23:25
8,Charlie Myers,male,white,medium,152 Highland Drive,6/26/18 23:26
9,Ronnie Miller,male,white,low,235 Yardsley Drive,6/26/18 23:27
10,Aubrey Murphy,female,white,high,43 Roxbury Lane,6/26/18 23:28
11,Erica Cox,female,white,medium,168 Sherwood Loop,
12,Leslie Wood,female,white,low,324 Teague Drive Northwest,6/26/18 23:30
13,Jorge Rodriguez,male,hispanic,high,209 Brown Branch Road,6/26/18 23:31
14,Pedro Sanchez,male,hispanic,medium,295 Malibu Drive,6/26/18 23:32
15,Luis Torres,male,hispanic,low,555 Meadows Court,6/26/18 23:33
16,Isabella Lopez,female,hispanic,high,1745 Fielding Way,6/26/18 23:34
17,Mariana Morales,female,hispanic,medium,168 Meadow Spring Lane,6/27/18 0:24
18,Jimena Ramirez,female,hispanic,low,334 Orchard Drive,6/27/18 0:25
