person id,people_name_selection/person_name,gender,racial category,education level,address_selection/property,timestamp inquiry sent out
1,Jalen Jackson,male,black,high,10850 Starling Trail,6/27/18 20:52
2,Lamar Williams,male,black,medium,37 Waterloo Court,6/27/18 20:53
3,DaQuan Robinson,male,black,low,24 Cool Water Court,6/27/18 20:54
4,Nia Harris,female,black,high,444 Jefferson Street Ext #5,6/27/18 20:55
5,Ebony James,female,black,medium,166 Ginger Cake Road,6/27/18 20:56
6,Shanice Thomas,female,black,low,6614 Ivy Log Drive,6/27/18 20:57
7,Caleb Peterson,male,white,high,216 Chase Woods Circle,6/27/18 20:58
8,Charlie Myers,male,white,medium,1093 Dunedin Trail,6/27/18 20:59
9,Ronnie Miller,male,white,low,232 Willow Springs Drive,6/27/18 21:00
10,Aubrey Murphy,female,white,high,6866 Fielder Court,6/27/18 21:01
11,Erica Cox,female,white,medium,437 Rosewood Circle,6/27/18 21:02
12,Leslie Wood,female,white,low,129 Inverness Avenue,6/27/18 21:03
13,Jorge Rodriguez,male,hispanic,high,290 Malibu Drive,6/27/18 21:04
14,Pedro Sanchez,male,hispanic,medium,25 Cloud Forest Court,6/27/18 21:05
15,Luis Torres,male,hispanic,low,45 Links Court,6/27/18 21:06
16,Isabella Lopez,female,hispanic,high,237 Red Oak Court,6/27/18 21:07
17,Mariana Morales,female,hispanic,medium,4650 Fox Hollow Court,6/27/18 21:08
18,Jimena Ramirez,female,hispanic,low,7595 Volion Parkway,6/27/18 21:09
