person id,people_name_selection/person_name,gender,racial category,education level,address_selection/property,timestamp inquiry sent out
1,Jalen Jackson,male,black,high,255 West Lane,6/28/18 16:24
2,Lamar Williams,male,black,medium,400 Cedar Lane,6/28/18 16:25
3,DaQuan Robinson,male,black,low,233 Greensprings Terrace,6/28/18 16:28
4,Nia Harris,female,black,high,65 Applewood Circle,6/28/18 16:35
5,Ebony James,female,black,medium,210 Dillard Drive Northeast,6/28/18 16:39
6,Shanice Thomas,female,black,low,260 Shelburn Drive,6/28/18 16:40
7,Caleb Peterson,male,white,high,265 Arbor Way,6/28/18 16:45
8,Charlie Myers,male,white,medium,211 Morgans Turn,6/28/18 16:46
9,Ronnie Miller,male,white,low,424 Serenity Walk,6/28/18 16:49
10,Aubrey Murphy,female,white,high,435 Greenview Circle,6/28/18 16:49
11,Erica Cox,female,white,medium,540 Brentwood Boulevard,6/28/18 16:50
12,Leslie Wood,female,white,low,3355 Franklin Forest Drive,6/28/18 16:51
13,Jorge Rodriguez,male,hispanic,high,1921 Fisher Drive,6/28/18 16:55
14,Pedro Sanchez,male,hispanic,medium,312 Liberty Court,6/28/18 17:00
15,Luis Torres,male,hispanic,low,1483 Paladin Court,6/28/18 17:02
16,Isabella Lopez,female,hispanic,high,293 Eagle Way,
17,Mariana Morales,female,hispanic,medium,306 Providence Drive,6/28/18 17:05
18,Jimena Ramirez,female,hispanic,low,259 Highland Falls Boulevard,6/28/18 17:17
