person id,people_name_selection/person_name,gender,racial category,education level,address_selection/property,timestamp inquiry sent out
1,Jalen Jackson,male,black,high,6010 Mallory Road,6/7/18 17:17
2,Lamar Williams,male,black,medium,4890 Tilly Mill Road,6/7/18 17:18
3,DaQuan Robinson,male,black,low,594 Parkway Drive Northeast #4,6/7/18 17:19
4,Nia Harris,female,black,high,1532 Pineview Terrace Southwest,6/7/18 17:20
5,Ebony James,female,black,medium,3263 Washington Road #3,6/7/18 17:21
6,Shanice Thomas,female,black,low,2868 Burden Street Northwest,6/7/18 18:17
7,Caleb Peterson,male,white,high,841 Artwood Road Northeast,6/7/18 18:18
8,Charlie Myers,male,white,medium,266 Hampton Terrace Northeast,6/7/18 18:19
9,Ronnie Miller,male,white,low,4463 Briarcliff Road,6/7/18 18:20
10,Aubrey Murphy,female,white,high,2915 Ridgemore Road Northwest,6/7/18 18:21
11,Erica Cox,female,white,medium,5445 Forest Downs Circle,6/7/18 18:22
12,Leslie Wood,female,white,low,1628 Eastland Road Southeast,6/7/18 18:23
13,Jorge Rodriguez,male,hispanic,high,3935 Admiral Drive,6/7/18 18:24
14,Pedro Sanchez,male,hispanic,medium,837 Forrest Circle Southeast,
15,Luis Torres,male,hispanic,low,1363 North Highland Avenue NE,6/7/18 18:26
16,Isabella Lopez,female,hispanic,high,1331 Arkwright Place Southeast,6/7/18 18:27
17,Mariana Morales,female,hispanic,medium,600 Waynes Court Southeast,6/7/18 18:28
18,Jimena Ramirez,female,hispanic,low,4717 Pine Acres Court,6/7/18 18:29
