person id,people_name_selection/person_name,gender,racial category,education level,address_selection/property,timestamp inquiry sent out
1,Jalen Jackson,male,black,high,151 Hunterian Place,6/28/18 18:57
2,Lamar Williams,male,black,medium,220 Marron Road,6/28/18 18:58
3,DaQuan Robinson,male,black,low,750-6 Flags Road #238,6/28/18 18:59
4,Nia Harris,female,black,high,109 Silver Fir Court,6/28/18 19:00
5,Ebony James,female,black,medium,55 Titleist Court,6/28/18 19:01
6,Shanice Thomas,female,black,low,216 Chase Woods Circle,6/28/18 19:02
7,Caleb Peterson,male,white,high,168 Meadow Spring Lane,6/28/18 19:03
8,Charlie Myers,male,white,medium,25 Teal Court #25,6/28/18 19:04
9,Ronnie Miller,male,white,low,41 Windgate Drive,
10,Aubrey Murphy,female,white,high,6451 Chickasaw Drive,6/28/18 19:06
11,Erica Cox,female,white,medium,130 Gingercake Court,6/28/18 19:10
12,Leslie Wood,female,white,low,6269 Valdez Drive,
13,Jorge Rodriguez,male,hispanic,high,230 Parkway Court,6/28/18 19:15
14,Pedro Sanchez,male,hispanic,medium,180 Water View Drive,6/28/18 19:16
15,Luis Torres,male,hispanic,low,3650 Mill Lake Drive,
16,Isabella Lopez,female,hispanic,high,300 Sharon Drive,6/28/18 19:21
17,Mariana Morales,female,hispanic,medium,235 West Lane,6/28/18 19:22
18,Jimena Ramirez,female,hispanic,low,210 King Arthur Drive,6/28/18 19:23
