person id,people_name_selection/person_name,gender,racial category,education level,address_selection/property,timestamp inquiry sent out
1,Jalen Jackson,male,black,high,452 Elaine Drive Southwest,6/22/18 0:34
2,Lamar Williams,male,black,medium,1280 Liberty Hill Road Northeast,6/22/18 0:35
3,DaQuan Robinson,male,black,low,3185 Lawrenceville Highway,6/22/18 0:36
4,Nia Harris,female,black,high,4865 Muirwood Drive,6/22/18 0:37
5,Ebony James,female,black,medium,783 Fox Valley Drive,6/22/18 0:38
6,Shanice Thomas,female,black,low,92 North Springs Court,6/22/18 0:39
7,Caleb Peterson,male,white,high,4710 Spring Gate Drive,6/22/18 0:40
8,Charlie Myers,male,white,medium,3253 Deshong Drive,6/22/18 0:41
9,Ronnie Miller,male,white,low,7245 Lacey Drive,6/22/18 0:42
10,Aubrey Murphy,female,white,high,230 Brittany Court,6/22/18 0:43
11,Erica Cox,female,white,medium,442 Jack Atkins Road,6/22/18 0:44
12,Leslie Wood,female,white,low,1133 Lightfoot Drive,6/22/18 0:45
13,Jorge Rodriguez,male,hispanic,high,1905 Falcon Wood Drive Northeast,6/22/18 0:46
14,Pedro Sanchez,male,hispanic,medium,6359 Bells Ferry Road #214,6/22/18 0:47
15,Luis Torres,male,hispanic,low,107 Oscar Court,
16,Isabella Lopez,female,hispanic,high,4030 Meadow Way,
17,Mariana Morales,female,hispanic,medium,133 Iron Bound Trail,6/22/18 0:50
18,Jimena Ramirez,female,hispanic,low,4682 Big Valley Court,6/22/18 0:51
