person id,people_name_selection/person_name,gender,racial category,education level,address_selection/property,timestamp inquiry sent out
1,Jalen Jackson,male,black,high,510 Connally Street Southeast,6/8/18 15:33
2,Lamar Williams,male,black,medium,2038 Howard Circle,6/8/18 15:34
3,DaQuan Robinson,male,black,low,2629 Arlene Way Northeast,
4,Nia Harris,female,black,high,417 Angier Place Northeast,6/8/18 15:36
5,Ebony James,female,black,medium,3521 Rockhaven Circle Northeast,6/8/18 15:37
6,Shanice Thomas,female,black,low,3046 Briarcliff Road Northeast #8,6/8/18 15:38
7,Caleb Peterson,male,white,high,1363 North Highland Avenue NE,6/8/18 15:39
8,Charlie Myers,male,white,medium,939 Euclid Avenue NE,6/8/18 15:40
9,Ronnie Miller,male,white,low,2204 River Green Drive Northwest,6/8/18 15:41
10,Aubrey Murphy,female,white,high,4463 Briarcliff Road Northeast,6/8/18 15:42
11,Erica Cox,female,white,medium,786 Francis Place Northwest,6/8/18 15:43
12,Leslie Wood,female,white,low,1772 Bouldercrest Road Southeast,6/8/18 15:44
13,Jorge Rodriguez,male,hispanic,high,1991 Commodore Court,6/8/18 15:45
14,Pedro Sanchez,male,hispanic,medium,2236 Butner Road Southwest,6/8/18 15:46
15,Luis Torres,male,hispanic,low,676 Gladstone Road Northwest,6/8/18 15:47
16,Isabella Lopez,female,hispanic,high,368 Irwin Street Northeast,6/8/18 15:48
17,Mariana Morales,female,hispanic,medium,1256 Monroe Drive Northeast,6/8/18 15:50
18,Jimena Ramirez,female,hispanic,low,2823 Horse Shoe Drive Southeast,6/8/18 15:51
