person id,people_name_selection/person_name,gender,racial category,education level,address_selection/property,timestamp inquiry sent out
1,Jalen Jackson,male,black,high,930 Winthrope Chase Court,6/13/18 16:44
2,Lamar Williams,male,black,medium,1726 Cotton Patch Lane,6/13/18 16:45
3,DaQuan Robinson,male,black,low,3045 Wildflower Lane,6/13/18 16:46
4,Nia Harris,female,black,high,2246 Clanton Terrace,6/13/18 16:47
5,Ebony James,female,black,medium,754 Shore Drive,
6,Shanice Thomas,female,black,low,1267 Sycamore Drive,6/13/18 16:49
7,Caleb Peterson,male,white,high,1274 Luther Way,6/13/18 16:50
8,Charlie Myers,male,white,medium,6269 Marbut Farms Road,6/13/18 16:51
9,Ronnie Miller,male,white,low,2310 Ousley Court,6/13/18 16:52
10,Aubrey Murphy,female,white,high,2434 Hillside Avenue,6/13/18 16:53
11,Erica Cox,female,white,medium,86 Sandalwood Circle,6/13/18 16:54
12,Leslie Wood,female,white,low,255 South Greenfield Circle,6/13/18 16:55
13,Jorge Rodriguez,male,hispanic,high,3794 Mulkey Circle Southwest,6/13/18 16:56
14,Pedro Sanchez,male,hispanic,medium,3592 Barrington Place,6/13/18 16:57
15,Luis Torres,male,hispanic,low,3814 Palisade Court,6/13/18 16:58
16,Isabella Lopez,female,hispanic,high,6115 Lynxs Circle Southwest,6/13/18 16:59
17,Mariana Morales,female,hispanic,medium,2562 Freemans Walk Path,6/13/18 17:00
18,Jimena Ramirez,female,hispanic,low,5830 Shadewater Way,
