person id,people_name_selection/person_name,gender,racial category,education level,address_selection/property,timestamp inquiry sent out
1,Jalen Jackson,male,black,high,2509 South Bedford Street,5/22/18 21:44
2,Lamar Williams,male,black,medium,922 South Bundy Drive,5/22/18 21:46
3,DaQuan Ronison,male,black,low,10417 Louisiana Avenue #303,5/22/18 21:47
4,Nia Harris,female,black,high,1050 West Vernon Avenue,5/22/18 21:47
5,Ebony James,female,black,medium,7607 Arizona Avenue,5/22/18 21:48
6,Shanice Thomas,female,black,low,736 East 24th Street #1,5/22/18 21:49
7,Caleb Peterson,male,white,high,9125 South Western Avenue,5/22/18 21:51
8,Charlie Myers,male,white,medium,547 North Martel Avenue,5/22/18 21:52
9,Ronnie Miller,male,white,low,12321 Ocean Park Boulevard #18,5/22/18 21:53
10,Aubrey Murphy,female,white,high,1522 South Westgate Avenue #403,5/22/18 21:55
11,Erica Cox,female,white,medium,5948 West 78th Street,5/22/18 22:00
12,Leslie Wood,female,white,low,10542 Butterfield Road,5/22/18 22:01
13,Jorge Rodriguez,male,hispanic,high,1301 East 108th Street #4,5/22/18 22:02
14,Pedro Sanchez,male,hispanic,medium,3381 Descanso Drive,5/22/18 22:03
15,Luis Torres,male,hispanic,low,320 West 52nd Place,5/22/18 22:04
16,Isabella Lopez,female,hispanic,high,2567 South Bundy Drive,5/22/18 22:05
17,Mariana Morales,female,hispanic,medium,5010 West Slauson Avenue,5/22/18 22:06
18,Jimena Ramirez,female,hispanic,low,138 North Carondelet Street,5/22/18 22:07
