person id,people_name_selection/person_name,gender,racial category,education level,address_selection/property,timestamp inquiry sent out
1,Jalen Jackson,male,black,high,3202 West 43rd Place,5/21/18 14:30
2,Lamar Williams,male,black,medium,437 Redfield Avenue,5/21/18 14:31
3,DaQuan Ronison,male,black,low,435 Dalehurst Avenue,5/21/18 14:32
4,Nia Harris,female,black,high,4021 Lyceum Avenue,5/21/18 14:34
5,Ebony James,female,black,medium,455 Levering Avenue,5/21/18 14:35
6,Shanice Thomas,female,black,low,438 South Sycamore Avenue,5/21/18 14:36
7,Caleb Peterson,male,white,high,1301 South Rimpau Boulevard,5/21/18 14:37
8,Charlie Myers,male,white,medium,644 North Harvard Boulevard #205,5/21/18 14:38
9,Ronnie Miller,male,white,low,1446 Armacost Avenue #202,5/21/18 14:39
10,Aubrey Murphy,female,white,high,6442 Moore Drive,5/21/18 14:40
11,Erica Cox,female,white,medium,507 Glenrock Avenue #101,5/21/18 14:41
12,Leslie Wood,female,white,low,11420 Waterford Street,5/21/18 14:44
13,Jorge Rodriguez,male,hispanic,high,1744 Warnall Avenue,5/21/18 14:45
14,Pedro Sanchez,male,hispanic,medium,5447 Blackwelder Street #1,5/21/18 14:46
15,Luis Torres,male,hispanic,low,5408 Huntington Drive South,5/21/18 14:47
16,Isabella Lopez,female,hispanic,high,4326 Russell Avenue #2,5/21/18 14:48
17,Mariana Morales,female,hispanic,medium,11919 Idaho Avenue #1,5/21/18 14:49
18,Jimena Ramirez,female,hispanic,low,10542 Butterfield Road,5/21/18 14:50
