person id,people_name_selection/person_name,gender,racial category,education level,address_selection/property,timestamp inquiry sent out
1,Jalen Jackson,male,black,high,9125 South Western Avenue,5/23/18 15:37
2,Lamar Williams,male,black,medium,856 Serrano Place,5/23/18 15:38
3,DaQuan Ronison,male,black,low,1818 Federal Avenue #2,5/23/18 15:38
4,Nia Harris,female,black,high,1936 Selby Avenue #402,5/23/18 15:39
5,Ebony James,female,black,medium,209 South Detroit Street,5/23/18 15:41
6,Shanice Thomas,female,black,low,1714 Warnall Avenue,5/23/18 15:43
7,Caleb Peterson,male,white,high,1954 Pinehurst Road,5/23/18 15:43
8,Charlie Myers,male,white,medium,2711 West 74th Street,5/23/18 15:44
9,Ronnie Miller,male,white,low,1136 South Stanley Avenue,5/23/18 15:44
10,Aubrey Murphy,female,white,high,1301 East 108th Street #4,5/23/18 15:45
11,Erica Cox,female,white,medium,1411 North Stanley Avenue,5/23/18 15:45
12,Leslie Wood,female,white,low,922 South Shenandoah Street,5/23/18 15:47
13,Jorge Rodriguez,male,hispanic,high,1449 Butler Avenue,5/23/18 15:48
14,Pedro Sanchez,male,hispanic,medium,10920 National Boulevard #14,5/23/18 15:49
15,Luis Torres,male,hispanic,low,6250 West Olympic Boulevard,5/23/18 15:50
16,Isabella Lopez,female,hispanic,high,1120 Irolo Street #103,5/23/18 15:52
17,Mariana Morales,female,hispanic,medium,645 North Cherokee Avenue,5/23/18 15:53
18,Jimena Ramirez,female,hispanic,low,5914 7th Avenue,5/23/18 15:54
