person id,people_name_selection/person_name,gender,racial category,education level,address_selection/property,timestamp inquiry sent out
1,Jalen Jackson,male,black,high,9306 South Central Avenue,5/21/18 9:09
2,Lamar Williams,male,black,medium,3108 Nichols Canyon Road,5/21/18 9:10
3,DaQuan Ronison,male,black,low,2643 Veteran Avenue,5/21/18 9:11
4,Nia Harris,female,black,high,166 South Saltair Avenue,5/21/18 9:12
5,Ebony James,female,black,medium,1522 South Westgate Avenue #303,5/21/18 9:13
6,Shanice Thomas,female,black,low,2626 Creston Drive,5/21/18 9:14
7,Caleb Peterson,male,white,high,600 West 9th Street #305,5/21/18 9:15
8,Charlie Myers,male,white,medium,1649 South Stanley Avenue,5/21/18 9:16
9,Ronnie Miller,male,white,low,10555 Ashton Avenue #201,5/21/18 9:17
10,Aubrey Murphy,female,white,high,1035 Figueroa Terrace #5,5/21/18 9:18
11,Erica Cox,female,white,medium,1554 Oriole Lane,5/21/18 9:19
12,Leslie Wood,female,white,low,625 North Harper Avenue,5/21/18 9:20
13,Jorge Rodriguez,male,hispanic,high,3827 Minerva Avenue,5/21/18 9:21
14,Pedro Sanchez,male,hispanic,medium,147 North Berendo Street #2,5/21/18 9:22
15,Luis Torres,male,hispanic,low,1270 South Highland Avenue,5/21/18 9:23
16,Isabella Lopez,female,hispanic,high,3441 Descanso Drive,5/21/18 9:24
17,Mariana Morales,female,hispanic,medium,3707 Arbolada Road,5/21/18 9:25
18,Jimena Ramirez,female,hispanic,low,1601 West Jefferson Boulevard,5/21/18 9:26
