person id,people_name_selection/person_name,gender,racial category,education level,address_selection/property,timestamp inquiry sent out
1,Jalen Jackson,male,black,high,846 South Plymouth Boulevard,5/22/18 11:17
2,Lamar Williams,male,black,medium,1326 South Centinela Avenue #401,5/22/18 11:19
3,DaQuan Ronison,male,black,low,644 North Harvard Boulevard #205,5/22/18 11:20
4,Nia Harris,female,black,high,208 West 126th Street,5/22/18 11:22
5,Ebony James,female,black,medium,1045 South Hayworth Avenue,5/22/18 11:23
6,Shanice Thomas,female,black,low,1649 South Stanley Avenue,5/22/18 11:25
7,Caleb Peterson,male,white,high,10507 Holman Avenue,5/22/18 11:26
8,Charlie Myers,male,white,medium,12234 Montana Avenue #301,5/22/18 11:28
9,Ronnie Miller,male,white,low,3707 Arbolada Road,5/22/18 11:29
10,Aubrey Murphy,female,white,high,702 South Serrano Avenue #302,5/22/18 12:01
11,Erica Cox,female,white,medium,1744 Warnall Avenue,5/22/18 12:03
12,Leslie Wood,female,white,low,1488 Rising Glen Road,5/22/18 12:05
13,Jorge Rodriguez,male,hispanic,high,6201 Whitworth Drive,5/22/18 12:07
14,Pedro Sanchez,male,hispanic,medium,9306 South Central Avenue,5/22/18 12:09
15,Luis Torres,male,hispanic,low,6193 Rockcliff Drive,5/22/18 12:10
16,Isabella Lopez,female,hispanic,high,500 North Harper Avenue,5/22/18 12:12
17,Mariana Morales,female,hispanic,medium,1727 N Dillon Street,5/22/18 12:13
18,Jimena Ramirez,female,hispanic,low,547 West 88th Street,5/22/18 12:15
