person id,people_name_selection/person_name,gender,racial category,education level,address_selection/property,timestamp inquiry sent out
1,Jalen Jackson,male,black,high,504 1/2 Casanova Street,5/21/18 14:09
2,Lamar Williams,male,black,medium,2410 Tracy Terrace,5/21/18 14:10
3,DaQuan Ronison,male,black,low,3136 Floye Drive,5/21/18 14:11
4,Nia Harris,female,black,high,111 South Wilton Place,5/21/18 14:12
5,Ebony James,female,black,medium,145 North Sycamore Avenue #145,5/21/18 14:13
6,Shanice Thomas,female,black,low,1727 N Dillon Street,5/21/18 14:14
7,Caleb Peterson,male,white,high,11911 Mayfield Avenue #3,5/21/18 14:15
8,Charlie Myers,male,white,medium,3727 San Rafael Avenue,5/21/18 14:16
9,Ronnie Miller,male,white,low,1610 6th Avenue,5/21/18 14:17
10,Aubrey Murphy,female,white,high,1013 North New Hampshire Avenue,5/21/18 14:18
11,Erica Cox,female,white,medium,826 South Cochran Avenue,5/21/18 14:20
12,Leslie Wood,female,white,low,2206 Outpost Drive,5/21/18 14:21
13,Jorge Rodriguez,male,hispanic,high,856 Serrano Place,5/21/18 14:22
14,Pedro Sanchez,male,hispanic,medium,2122 Century Park Lane #304,5/21/18 14:23
15,Luis Torres,male,hispanic,low,6551 Franklin Avenue,5/21/18 14:25
16,Isabella Lopez,female,hispanic,high,1488 Rising Glen Road,5/21/18 14:26
17,Mariana Morales,female,hispanic,medium,122 N Avenue 23 #23,5/21/18 14:27
18,Jimena Ramirez,female,hispanic,low,702 South Serrano Avenue #302,5/21/18 14:29
