person id,people_name_selection/person_name,gender,racial category,education level,address_selection/property,timestamp inquiry sent out
1,Jalen Jackson,male,black,high,2472 Panorama Terrace,5/22/18 19:23
2,Lamar Williams,male,black,medium,11911 Mayfield Avenue #3,5/22/18 19:24
3,DaQuan Ronison,male,black,low,945 South Sycamore Avenue,5/22/18 19:26
4,Nia Harris,female,black,high,801 South Lucerne Boulevard #406,5/22/18 19:27
5,Ebony James,female,black,medium,1035 Figueroa Terrace #5,5/22/18 19:28
6,Shanice Thomas,female,black,low,1610 6th Avenue,5/22/18 19:29
7,Caleb Peterson,male,white,high,11929 Courtleigh Drive #302,5/22/18 19:30
8,Charlie Myers,male,white,medium,3121 London Street,5/22/18 19:32
9,Ronnie Miller,male,white,low,1601 West Jefferson Boulevard,5/22/18 19:33
10,Aubrey Murphy,female,white,high,147 North Berendo Street #2,5/22/18 19:35
11,Erica Cox,female,white,medium,11919 Iowa Avenue,5/22/18 19:35
12,Leslie Wood,female,white,low,1170 West 28th Street,5/22/18 19:37
13,Jorge Rodriguez,male,hispanic,high,711 Maltman Avenue,5/22/18 19:38
14,Pedro Sanchez,male,hispanic,medium,438 South Sycamore Avenue,5/22/18 19:39
15,Luis Torres,male,hispanic,low,238 North Irving Boulevard,5/22/18 19:40
16,Isabella Lopez,female,hispanic,high,167 North Gardner Street,5/22/18 19:42
17,Mariana Morales,female,hispanic,medium,1148 South Bedford Street,5/22/18 19:43
18,Jimena Ramirez,female,hispanic,low,1155 South Grand Avenue #1903,5/22/18 19:44
