person id,people_name_selection/person_name,gender,racial category,education level,address_selection/property,timestamp inquiry sent out
1,Jalen Jackson,male,black,high,1833 Carmona Avenue #HOUSE,5/23/18 10:47
2,Lamar Williams,male,black,medium,1712 Barry Avenue #1,5/23/18 10:48
3,DaQuan Ronison,male,black,low,850 North Stanley Avenue,5/23/18 10:49
4,Nia Harris,female,black,high,1717 Armacost Avenue #3,5/23/18 10:50
5,Ebony James,female,black,medium,2540 Laurel Pass,5/23/18 10:50
6,Shanice Thomas,female,black,low,11929 Courtleigh Drive #302,5/23/18 10:51
7,Caleb Peterson,male,white,high,437 Redfield Avenue,5/23/18 10:52
8,Charlie Myers,male,white,medium,10616 Wellworth Avenue,5/23/18 10:53
9,Ronnie Miller,male,white,low,435 North Formosa Avenue,5/23/18 10:54
10,Aubrey Murphy,female,white,high,1155 South Grand Avenue #1903,5/23/18 10:55
11,Erica Cox,female,white,medium,5010 West Slauson Avenue,5/23/18 10:56
12,Leslie Wood,female,white,low,2567 South Bundy Drive,5/23/18 10:57
13,Jorge Rodriguez,male,hispanic,high,11420 Waterford Street,5/23/18 10:58
14,Pedro Sanchez,male,hispanic,medium,7607 Arizona Avenue,5/23/18 10:59
15,Luis Torres,male,hispanic,low,625 North Harper Avenue,5/23/18 11:01
16,Isabella Lopez,female,hispanic,high,11911 Mayfield Avenue #203,5/23/18 11:02
17,Mariana Morales,female,hispanic,medium,1301 South Rimpau Boulevard,5/23/18 11:03
18,Jimena Ramirez,female,hispanic,low,740 Norway Lane,5/23/18 11:04
