person id,people_name_selection/person_name,gender,racial category,education level,address_selection/property,timestamp inquiry sent out
1,Jalen Jackson,male,black,high,2454 Nalin Drive,5/22/18 10:50
2,Lamar Williams,male,black,medium,10555 Ashton Avenue #201,5/22/18 10:51
3,DaQuan Ronison,male,black,low,260 S Avenue 55 #H,5/22/18 10:53
4,Nia Harris,female,black,high,1212 South Sycamore Avenue,5/22/18 10:55
5,Ebony James,female,black,medium,1449 Butler Avenue,5/22/18 10:56
6,Shanice Thomas,female,black,low,1118 Cardiff Avenue #1,5/22/18 10:57
7,Caleb Peterson,male,white,high,2009 West 112th Street,5/22/18 10:59
8,Charlie Myers,male,white,medium,1400 Camden Avenue #102,5/22/18 11:01
9,Ronnie Miller,male,white,low,11435 South New Hampshire Avenue #3,5/22/18 11:02
10,Aubrey Murphy,female,white,high,10661 Lindamere Drive,5/22/18 11:04
11,Erica Cox,female,white,medium,2046 South Sherbourne Drive #4,5/22/18 11:05
12,Leslie Wood,female,white,low,838 South Barrington Avenue #403,5/22/18 11:07
13,Jorge Rodriguez,male,hispanic,high,1818 Thayer Avenue #305,5/22/18 11:08
14,Pedro Sanchez,male,hispanic,medium,10535 Wilshire Boulevard #1003,5/22/18 11:10
15,Luis Torres,male,hispanic,low,1001 Tiverton Avenue #4158,5/22/18 11:11
16,Isabella Lopez,female,hispanic,high,1522 South Westgate Avenue #203,5/22/18 11:13
17,Mariana Morales,female,hispanic,medium,217 South Martel Avenue,5/22/18 11:14
18,Jimena Ramirez,female,hispanic,low,2724 W Avenue 32 #32,5/22/18 11:15
