person id,people_name_selection/person_name,gender,racial category,education level,address_selection/property,timestamp inquiry sent out
1,Jalen Jackson,male,black,high,3381 Descanso Drive,5/21/18 15:11
2,Lamar Williams,male,black,medium,2309 Hauser Boulevard #4,5/21/18 15:12
3,DaQuan Ronison,male,black,low,2106 Park Grove Avenue,5/21/18 15:13
4,Nia Harris,female,black,high,907 South Shenandoah Street #101,5/21/18 15:14
5,Ebony James,female,black,medium,637-647 Maltman Avenue #637-5,5/21/18 15:15
6,Shanice Thomas,female,black,low,1148 South Bedford Street,5/21/18 15:16
7,Caleb Peterson,male,white,high,854 Serrano Place,5/21/18 15:17
8,Charlie Myers,male,white,medium,8011 Romaine Street #106,5/21/18 15:18
9,Ronnie Miller,male,white,low,5363 West Slauson Avenue,5/21/18 15:19
10,Aubrey Murphy,female,white,high,8905 South Hoover Street,5/21/18 15:20
11,Erica Cox,female,white,medium,9300 South Main Street,5/21/18 15:21
12,Leslie Wood,female,white,low,3410 Walton Avenue,5/21/18 15:22
13,Jorge Rodriguez,male,hispanic,high,10661 Lindamere Drive,5/21/18 15:24
14,Pedro Sanchez,male,hispanic,medium,3665 Moore Street,5/21/18 15:26
15,Luis Torres,male,hispanic,low,12234 Montana Avenue #301,5/21/18 15:27
16,Isabella Lopez,female,hispanic,high,621 Lillian Way,5/21/18 15:29
17,Mariana Morales,female,hispanic,medium,648 Brittania Street,5/21/18 15:31
18,Jimena Ramirez,female,hispanic,low,150 West 118th Street,5/21/18 15:32
