person id,people_name_selection/person_name,gender,racial category,education level,address_selection/property,timestamp inquiry sent out
1,Jalen Jackson,male,black,high,1436 South Bedford Street #5,5/22/18 15:50
2,Lamar Williams,male,black,medium,5363 West Slauson Avenue,5/22/18 15:51
3,DaQuan Ronison,male,black,low,7024 Treasure Trail,5/22/18 15:53
4,Nia Harris,female,black,high,10920 National Boulevard #14,5/22/18 15:53
5,Ebony James,female,black,medium,2427 Bagley Avenue,5/22/18 16:36
6,Shanice Thomas,female,black,low,3438 Hollydale Drive,5/22/18 16:38
7,Caleb Peterson,male,white,high,637-647 Maltman Avenue #645,5/22/18 16:38
8,Charlie Myers,male,white,medium,5120 Irvington Place,5/22/18 16:39
9,Ronnie Miller,male,white,low,1215 South Bedford Street #204,5/22/18 16:39
10,Aubrey Murphy,female,white,high,726 South Orange Grove Boulevard,5/22/18 16:40
11,Erica Cox,female,white,medium,1128 North Kenmore Avenue,5/22/18 16:41
12,Leslie Wood,female,white,low,3859 South Cochran Avenue,5/22/18 16:41
13,Jorge Rodriguez,male,hispanic,high,111 South Wilton Place,5/22/18 16:42
14,Pedro Sanchez,male,hispanic,medium,5002 Patagonia Court,5/22/18 16:42
15,Luis Torres,male,hispanic,low,437 Redfield Avenue,5/22/18 16:43
16,Isabella Lopez,female,hispanic,high,628 West 76th Street,5/22/18 16:43
17,Mariana Morales,female,hispanic,medium,1954 Pinehurst Road,5/22/18 16:44
18,Jimena Ramirez,female,hispanic,low,2412 South Shenandoah Street #1,5/22/18 16:44
