person id,people_name_selection/person_name,gender,racial category,education level,address_selection/property,timestamp inquiry sent out
1,Jalen Jackson,male,black,high,1062 South Alfred Street,5/22/18 15:03
2,Lamar Williams,male,black,medium,600 West 9th Street #305,5/22/18 15:04
3,DaQuan Ronison,male,black,low,2206 Outpost Drive,5/22/18 15:06
4,Nia Harris,female,black,high,702 East 54th Street,5/22/18 15:07
5,Ebony James,female,black,medium,1519 Granville Avenue #303,5/22/18 15:09
6,Shanice Thomas,female,black,low,11010 Exposition Boulevard,5/22/18 15:12
7,Caleb Peterson,male,white,high,756 1/2 North Ridgewood Place,5/22/18 15:13
8,Charlie Myers,male,white,medium,1717 Armacost Avenue #3,5/22/18 15:14
9,Ronnie Miller,male,white,low,1197 McClellan Drive #1197,5/22/18 15:15
10,Aubrey Murphy,female,white,high,3827 Minerva Avenue,5/22/18 15:16
11,Erica Cox,female,white,medium,8926 West 25th Street,5/22/18 15:17
12,Leslie Wood,female,white,low,1127 South Hayworth Avenue,5/22/18 15:18
13,Jorge Rodriguez,male,hispanic,high,145 North Sycamore Avenue #145,5/22/18 15:19
14,Pedro Sanchez,male,hispanic,medium,1936 Selby Avenue #401,5/22/18 15:21
15,Luis Torres,male,hispanic,low,435 Dalehurst Avenue,5/22/18 15:22
16,Isabella Lopez,female,hispanic,high,1042 South Crescent Heights Boulevard,5/22/18 15:23
17,Mariana Morales,female,hispanic,medium,327 North Vista Street,5/22/18 15:24
18,Jimena Ramirez,female,hispanic,low,1633 South Crest Drive,5/22/18 15:24
