person id,people_name_selection/person_name,gender,racial category,education level,address_selection/property,timestamp inquiry sent out
1,Jalen Jackson,male,black,high,1031 South Gramercy Drive,5/22/18 9:55
2,Lamar Williams,male,black,medium,1235 Innes Avenue,5/22/18 9:56
3,DaQuan Ronison,male,black,low,5914 7th Avenue,5/22/18 9:58
4,Nia Harris,female,black,high,3410 Walton Avenue,5/22/18 9:59
5,Ebony James,female,black,medium,1011 North Fickett Street,5/22/18 10:01
6,Shanice Thomas,female,black,low,10407 Wilmington Avenue,5/22/18 10:02
7,Caleb Peterson,male,white,high,2431 North Gower Street,5/22/18 10:04
8,Charlie Myers,male,white,medium,912 South Bundy Drive,5/22/18 10:05
9,Ronnie Miller,male,white,low,907 South Shenandoah Street #201,5/22/18 10:07
10,Aubrey Murphy,female,white,high,1385 West 22nd Street,5/22/18 10:09
11,Erica Cox,female,white,medium,3501 South Victoria Avenue,5/22/18 10:10
12,Leslie Wood,female,white,low,850 North Stanley Avenue,5/22/18 10:11
13,Jorge Rodriguez,male,hispanic,high,7357 Pyramid Place,5/22/18 10:13
14,Pedro Sanchez,male,hispanic,medium,1920 Overland Avenue #301,5/22/18 10:15
15,Luis Torres,male,hispanic,low,856 South Wilton Place #1,5/22/18 10:16
16,Isabella Lopez,female,hispanic,high,653 Cross Avenue,5/22/18 10:18
17,Mariana Morales,female,hispanic,medium,435 North Formosa Avenue,5/22/18 10:19
18,Jimena Ramirez,female,hispanic,low,1121 West 39th Place,5/22/18 10:21
