person id,people_name_selection/person_name,gender,racial category,education level,address_selection/property,timestamp inquiry sent out
1,Jalen Jackson,male,black,high,839 South Shenandoah Street,5/22/18 15:25
2,Lamar Williams,male,black,medium,242 East 92nd Street,5/22/18 15:26
3,DaQuan Ronison,male,black,low,9300 South Main Street,5/22/18 15:27
4,Nia Harris,female,black,high,136 1/2 North Carondelet Street,5/22/18 15:28
5,Ebony James,female,black,medium,3319 Roseview Avenue,5/22/18 15:29
6,Shanice Thomas,female,black,low,181 South Sycamore Avenue,5/22/18 15:31
7,Caleb Peterson,male,white,high,11860 Tennessee Place,5/22/18 15:32
8,Charlie Myers,male,white,medium,856 Serrano Place,5/22/18 15:34
9,Ronnie Miller,male,white,low,2052 Butler Avenue,5/22/18 15:35
10,Aubrey Murphy,female,white,high,1029 South Mansfield Avenue,5/22/18 15:38
11,Erica Cox,female,white,medium,6551 Franklin Avenue,5/22/18 15:40
12,Leslie Wood,female,white,low,1721 South Sherbourne Drive,5/22/18 15:41
13,Jorge Rodriguez,male,hispanic,high,2753 Laurel Pass,5/22/18 15:43
14,Pedro Sanchez,male,hispanic,medium,4733 Oakwood Avenue,5/22/18 15:44
15,Luis Torres,male,hispanic,low,3136 Floye Drive,5/22/18 15:46
16,Isabella Lopez,female,hispanic,high,320 South Swall Drive #1,5/22/18 15:46
17,Mariana Morales,female,hispanic,medium,1538 South Durango Avenue,5/22/18 15:48
18,Jimena Ramirez,female,hispanic,low,1655 Greenfield Avenue,5/22/18 15:49
