person id,people_name_selection/person_name,gender,racial category,education level,address_selection/property,timestamp inquiry sent out
1,Jalen Jackson,male,black,high,2412 South Shenandoah Street #1,5/21/18 10:04
2,Lamar Williams,male,black,medium,2753 Laurel Pass,5/21/18 10:05
3,DaQuan Ronison,male,black,low,1936 Selby Avenue #302,5/21/18 10:06
4,Nia Harris,female,black,high,653 Cross Avenue,5/21/18 10:07
5,Ebony James,female,black,medium,6420 Dix Street,5/21/18 10:08
6,Shanice Thomas,female,black,low,3668 Jasmine Avenue #1,5/21/18 10:09
7,Caleb Peterson,male,white,high,1529 South Beverly Drive #1,5/21/18 10:10
8,Charlie Myers,male,white,medium,922 South Shenandoah Street #3,5/21/18 10:11
9,Ronnie Miller,male,white,low,1500 South Beverly Drive #102,5/21/18 10:12
10,Aubrey Murphy,female,white,high,3251 Descanso Drive,5/21/18 10:13
11,Erica Cox,female,white,medium,7024 Treasure Trail,5/21/18 10:14
12,Leslie Wood,female,white,low,2427 Bagley Avenue,5/21/18 10:15
13,Jorge Rodriguez,male,hispanic,high,1128 North Kenmore Avenue,5/21/18 10:16
14,Pedro Sanchez,male,hispanic,medium,8926 West 25th Street,5/21/18 10:17
15,Luis Torres,male,hispanic,low,1127 South Hayworth Avenue,5/21/18 10:18
16,Isabella Lopez,female,hispanic,high,838 South Barrington Avenue #403,5/21/18 10:19
17,Mariana Morales,female,hispanic,medium,1215 South Bedford Street #204,5/21/18 10:20
18,Jimena Ramirez,female,hispanic,low,1714 Warnall Avenue,5/21/18 10:21
