Address,City,State,Zip_Code,Rent_Per_Month,Year,Days_on_Trulia,Type,Sqft,Phone_Number,Bedroom_min,Bedroom_max,Bathroom_min,Bathroom_max,Assault,Arrest,Theft,Vandalism,Burglary,Crime_Other,Elementary_School_Count,Elementary_School_Avg_Score,Middle_School_Count,Middle_School_Avg_Score,High_School_Count,High_School_Avg_Score,Driving,Transit,Walking,Cycling,Restaurant,Groceries,Nightlife,Cafe,Shopping,Entertainment,Beauty,Active_life,Latitude,Longitude,EPA_Region,Population,Input_area.sq..miles.,Particulate_Matter,Ozone,NATA._Diesel_PM,NATA._Air_Toxics_Cancer_Risk,NATA._Respiratory_Hazard_Index,Traffic_Proximity_and_Volume,Lead_Paint_Indicator,Superfund_Proximity,RMP_Proximity,Hazardous_Waste_Proximity,Wastewater_Discharge_Indicator,Demographic_Index.,Minority_Population.,Low_Income_Population.,Linguistically_Isolated_Population.,Population_with_Less_Than_High_School_Education.,Population_under_Age_5.,Population_over_Age_64.,URL,Short_form_ID,STATEFP10,COUNTYFP10,TRACTCE10,BLOCKCE10,GEOID10,NAME10,MTFCC10,UR10,UACE10,UATYPE,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,person id,people_name_selection/person_name,gender,racial category,education level,address_selection/property,timestamp inquiry sent out
487 East Main Street,Buford,GA,30518.0,"$1,600",2001.0,10.0,Single-Family Home,"1,252",(404) 372-4605,3.0,3.0,2.0,2.0,56.0,45.0,143.0,,,,1.0,0.0,1.0,9.0,1.0,0.0,100.0,0.0,0.0,0.0,15.0,3.0,1.0,1.0,24.0,3.0,14.0,10.0,34.12804000000001,-83.99962099999998,4,2769,3.14,9.56,36.3,0.8640000000000001,47,1.7,72.0,0.33,0.0085,1.8,0.042,0.00023999999999999998,53,52,55,9,28,7,12,"https://www.trulia.com/c/cahref=""/p/ga/buford/487-e-main-st-buford-ga-30518--2092225313""",4028115717.0,13.0,135.0,50105.0,1019.0,131350501051019.0,Block 1019,G5040,U,3817.0,U,S,12557.0,0.0,34.1290912,-83.99945129999998,1,Jalen Jackson,male,black,high,487 East Main Street,6/30/18 12:37
4621 Whispering Pines Drive,Buford,GA,30518.0,"$1,199",,92.0,Single-Family Home,"1,680",(888) 303-6628,3.0,3.0,2.0,2.0,56.0,45.0,143.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,15.0,3.0,1.0,1.0,26.0,1.0,9.0,9.0,34.140752,-83.95519300000002,4,2021,3.14,9.53,36.2,0.937,45,1.7,880.0,0.027000000000000003,0.0082,1.2,0.035,4.2e-05,39,20,58,7,18,7,19,"https://www.trulia.com/c/cahref=""/p/ga/buford/4621-whispering-pines-dr-buford-ga-30518--2201863200""",4045480819.0,13.0,139.0,1607.0,1041.0,131390016071041.0,Block 1041,G5040,U,32194.0,U,S,4268.0,0.0,34.1408651,-83.9549512,2,Lamar Williams,male,black,medium,4621 Whispering Pines Drive,6/30/18 12:38
2668 Wynter Snow Run,Bethlehem,GA,30620.0,"$1,625",,189.0,Single-Family Home,"2,058",(855) 684-7368,3.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,1.0,9.0,1.0,0.0,100.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,33.941311,-83.814375,4,2179,3.14,9.66,36.2,0.7559999999999999,46,1.6,22.0,0.038,0.0077,0.18,0.031,8.4e-07,36,42,30,10,12,5,9,"https://www.trulia.com/c/cahref=""/p/ga/bethlehem/2668-wynter-snow-run-bethlehem-ga-30620--1002094540""",4040313495.0,13.0,135.0,50608.0,2001.0,131350506082001.0,Block 2001,G5040,U,3817.0,U,S,1382368.0,6122.0,33.9419626,-83.8125218,3,DaQuan Robinson,male,black,low,2668 Wynter Snow Run,6/30/18 12:39
6511 Meadow Lark Drive,Riverdale,GA,30296.0,"$1,145",1981.0,30.0,Single-Family Home,,(404) 418-5108,3.0,3.0,2.0,2.0,5.0,,22.0,10.0,,,1.0,4.0,1.0,4.0,1.0,0.0,91.0,7.0,0.0,0.0,28.0,2.0,4.0,2.0,15.0,1.0,9.0,2.0,33.577671,-84.420383,4,11891,3.14,9.83,34.1,1.05,56,4.1,290.0,0.048,0.011000000000000001,0.4,0.13,6.2e-09,73,96,49,4,13,8,7,"https://www.trulia.com/c/cahref=""/p/ga/riverdale/6511-meadow-lark-dr-riverdale-ga-30296--1074099040""",4048371532.0,13.0,63.0,40512.0,1006.0,130630405121006.0,Block 1006,G5040,U,3817.0,U,S,19721.0,0.0,33.5772115,-84.4211406,4,Nia Harris,female,black,high,6511 Meadow Lark Drive,6/30/18 12:40
3130 Amber Lane,Monroe,GA,30655.0,"$1,295",2012.0,16.0,Single-Family Home,"1,250",(404) 402-2516,3.0,3.0,2.0,2.0,,3.0,5.0,,,,1.0,5.0,1.0,7.0,1.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.761817,-83.807688,4,1401,3.14,9.72,36.0,0.6,47,1.6,64.0,0.025,0.009000000000000001,0.11,0.024,0.0,13,12,15,1,6,3,13,"https://www.trulia.com/c/cahref=""/p/ga/monroe/3130-amber-ln-monroe-ga-30655--1006974858""",4017822344.0,13.0,297.0,110602.0,2014.0,132971106022014.0,Block 2014,G5040,R,,,S,857826.0,0.0,33.7624375,-83.8043203,5,Ebony James,female,black,medium,3130 Amber Lane,6/30/18 12:41
1453 Iroquois Path Northeast,Brookhaven,GA,30319.0,"$2,500",1960.0,119.0,Single-Family Home,,(770) 963-5181,3.0,3.0,2.0,2.0,149.0,432.0,543.0,,,,1.0,7.0,1.0,7.0,1.0,0.0,90.0,8.0,0.0,1.0,56.0,1.0,9.0,7.0,154.0,4.0,75.0,12.0,33.912619,-84.329088,4,8645,3.14,10.1,35.6,1.31,54,2.3,2200.0,0.051,0.011000000000000001,0.28,0.23,0.0036,21,28,15,3,3,6,13,"https://www.trulia.com/c/cahref=""/p/ga/brookhaven/1453-iroquois-path-ne-brookhaven-ga-30319--2092127904""",4026824574.0,13.0,89.0,21202.0,2021.0,130890212022021.0,Block 2021,G5040,U,3817.0,U,S,49688.0,0.0,33.9135083,-84.3304563,6,Shanice Thomas,female,black,low,1453 Iroquois Path Northeast,6/30/18 12:42
2860 Oxford Road,College Park,GA,30349.0,$920,,17.0,Multi-Family,"1,400",(206) 255-4490,3.0,3.0,2.0,2.0,66.0,,199.0,57.0,,,1.0,5.0,1.0,3.0,1.0,0.0,,,,,,,,,,,,,33.669857,-84.625835,4,4905,3.14,9.71,34.1,0.595,47,2.0,21.0,0.053,0.013999999999999999,0.96,0.037000000000000005,0.0086,64,92,36,1,7,7,9,"https://www.trulia.com/c/cahref=""/p/ga/college-park/2860-oxford-rd-college-park-ga-30349--1072427269""",4040093333.0,13.0,121.0,10301.0,2000.0,131210103012000.0,Block 2000,G5040,U,3817.0,U,S,5813652.0,0.0,33.6666355,-84.6130437,7,Caleb Peterson,male,white,high,2860 Oxford Road,6/30/18 12:43
2580 Suncrest Court,Buford,GA,30519.0,"$1,495",1986.0,73.0,Single-Family Home,"2,241",(404) 403-8512,3.0,3.0,2.0,2.0,42.0,32.0,222.0,,,,1.0,8.0,1.0,10.0,1.0,0.0,99.0,1.0,0.0,0.0,16.0,2.0,0.0,2.0,31.0,4.0,22.0,2.0,34.048069,-83.981892,4,4094,3.14,9.64,36.3,1.19,48,1.9,160.0,0.0006799999999999999,0.0084,0.66,0.047,0.035,40,51,30,6,4,8,9,"https://www.trulia.com/c/cahref=""/p/ga/buford/2580-suncrest-ct-buford-ga-30519--2030730443""",4046738873.0,13.0,135.0,50605.0,3024.0,131350506053024.0,Block 3024,G5040,U,3817.0,U,S,546965.0,4469.0,34.0464998,-83.9828421,8,Charlie Myers,male,white,medium,2580 Suncrest Court,
6305 Cherry Tree Lane,Sandy Springs,GA,30328.0,"$2,500",1954.0,45.0,Single-Family Home,"2,247",(404) 626-0903,3.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,1.0,5.0,1.0,0.0,93.0,3.0,0.0,0.0,109.0,7.0,19.0,14.0,157.0,15.0,194.0,54.0,33.927096,-84.37374100000002,4,9642,3.14,10.1,35.6,1.52,56,2.5,2400.0,0.12,0.012,0.17,0.11,0.00013000000000000002,32,35,29,7,4,8,21,"https://www.trulia.com/c/cahref=""/p/ga/sandy-springs/6305-cherry-tree-ln-sandy-springs-ga-30328--1147622968""",4047443020.0,13.0,121.0,10121.0,1007.0,131210101211007.0,Block 1007,G5040,U,3817.0,U,S,83920.0,0.0,33.9285735,-84.3736438,9,Ronnie Miller,male,white,low,6305 Cherry Tree Lane,6/30/18 12:45
14475 Highway 18 Chalet #98,Pine Mountain,GA,31822.0,"$1,200",1995.0,28.0,Single-Family Home,"1,344",(706) 407-0518,3.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,7.0,1.0,0.0,97.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,32.848909,-84.890027,4,189,3.14,9.7,35.9,0.294,46,1.7,30.0,0.14,0.0096,0.086,0.023,0.0,29,38,20,0,6,15,18,"https://www.trulia.com/c/cahref=""/p/ga/pine-mountain/14475-highway-18-chalet-98-pine-mountain-ga-31822--2353895727""",4048636126.0,13.0,145.0,120198.0,1070.0,131451201981070.0,Block 1070,G5040,R,,,S,5889258.0,56123.0,32.8386853,-84.8826115,10,Aubrey Murphy,female,white,high,14475 Highway 18 Chalet #98,6/30/18 12:46
